insc,nota1,nota2,nota3,nota4,red
1072535,577.569,525.840,454.679,464.088,725
1119721,360.234,494.160,415.782,430.788,725
1103127,664.503,525.840,493.576,497.388,775
1075246,316.767,494.160,376.886,397.488,750
1105293,447.168,335.759,454.679,430.788,700
1079771,447.168,430.799,376.886,430.788,675
1133318,621.036,430.799,376.886,430.788,750
1091695,403.701,462.480,493.576,464.088,825
1128909,316.767,367.439,376.886,530.688,750
1094154,360.234,335.759,454.679,430.788,700
1105493,447.168,462.480,415.782,430.788,725
1120623,447.168,494.160,299.092,430.788,800
1089632,490.635,399.119,454.679,397.488,800
1099442,403.701,462.480,337.989,397.488,850
1095637,360.234,525.840,415.782,430.788,875
1096865,360.234,335.759,376.886,464.088,750
1125751,534.102,525.840,415.782,397.488,750
1118526,577.569,399.119,376.886,497.388,750
1123527,447.168,367.439,337.989,364.187,750
1085398,534.102,335.759,415.782,530.688,750
1090473,490.635,430.799,376.886,464.088,850
1137077,403.701,399.119,376.886,464.088,850
1129367,403.701,367.439,337.989,530.688,800
1106982,490.635,462.480,376.886,464.088,750
1095929,490.635,399.119,454.679,497.388,700
1084173,490.635,462.480,376.886,364.187,750
1133082,577.569,557.520,454.679,464.088,750
1118701,447.168,367.439,454.679,464.088,700
1123151,490.635,399.119,454.679,464.088,750
1075735,534.102,399.119,376.886,497.388,800
1080020,403.701,399.119,532.473,430.788,825
1123992,577.569,430.799,376.886,364.187,800
1107550,403.701,430.799,532.473,397.488,800
1098868,403.701,462.480,376.886,464.088,700
1080945,403.701,399.119,454.679,430.788,800
1131662,447.168,367.439,415.782,397.488,800
1079602,534.102,557.520,454.679,430.788,850
1095794,403.701,367.439,376.886,464.088,550
1075694,490.635,367.439,376.886,430.788,750
1080814,360.234,367.439,493.576,464.088,750
1136979,490.635,430.799,376.886,364.187,700
1109031,534.102,557.520,493.576,464.088,825
1119177,403.701,304.079,337.989,430.788,700
1084080,360.234,272.399,415.782,464.088,775
1078551,316.767,304.079,376.886,397.488,700
1100652,490.635,335.759,415.782,464.088,825
1124856,403.701,367.439,454.679,464.088,700
1135337,534.102,399.119,415.782,497.388,750
1092661,273.300,430.799,493.576,430.788,675
1076659,316.767,494.160,376.886,430.788,650
1115175,273.300,399.119,337.989,497.388,675
1131564,403.701,272.399,493.576,464.088,725
1095351,360.234,367.439,376.886,464.088,700
1119238,534.102,525.840,454.679,430.788,825
1099780,316.767,462.480,376.886,497.388,800
1111079,316.767,335.759,493.576,430.788,725
1101788,403.701,462.480,376.886,397.488,700
1136266,273.300,462.480,376.886,430.788,750
1127106,490.635,494.160,337.989,430.788,750
1088943,403.701,399.119,415.782,530.688,725
1134321,360.234,399.119,532.473,397.488,750
1077540,360.234,304.079,299.092,397.488,500
1093289,316.767,240.719,571.370,464.088,700
1075274,447.168,399.119,376.886,430.788,675
1100182,273.300,335.759,337.989,364.187,750
1139156,316.767,367.439,415.782,364.187,750
1078624,186.367,430.799,454.679,563.988,775
1094796,577.569,399.119,532.473,464.088,750
1138349,621.036,525.840,532.473,464.088,675
1104192,534.102,367.439,493.576,597.288,800
1122669,360.234,335.759,376.886,430.788,725
1101155,316.767,399.119,415.782,464.088,700
1094384,490.635,335.759,376.886,397.488,850
1137441,273.300,240.719,376.886,430.788,700
1138456,447.168,462.480,493.576,430.788,750
1095208,577.569,494.160,493.576,430.788,750
1084314,447.168,367.439,376.886,397.488,750
1132046,273.300,335.759,415.782,497.388,800
1093686,403.701,335.759,415.782,397.488,700
1095792,403.701,430.799,415.782,497.388,700
1134218,534.102,335.759,454.679,430.788,750
1074331,534.102,494.160,571.370,497.388,875
1090976,360.234,399.119,454.679,430.788,700
1135154,403.701,272.399,376.886,464.088,750
1119800,534.102,399.119,532.473,430.788,550
1135259,403.701,399.119,415.782,397.488,675
1075055,316.767,367.439,376.886,397.488,775
1120310,403.701,462.480,493.576,397.488,775
1075119,360.234,367.439,415.782,497.388,750
1104093,534.102,494.160,493.576,464.088,750
1087721,360.234,399.119,415.782,497.388,650
1097457,403.701,430.799,454.679,397.488,725
1109603,577.569,367.439,493.576,464.088,800
1118448,447.168,335.759,454.679,430.788,750
1110943,360.234,399.119,493.576,397.488,775
1106250,490.635,462.480,337.989,430.788,600
1124597,360.234,399.119,454.679,430.788,525
1082775,577.569,462.480,376.886,397.488,650
1093917,621.036,525.840,415.782,464.088,725
1085812,360.234,335.759,376.886,563.988,725
1101038,403.701,335.759,415.782,497.388,700
1132117,403.701,399.119,376.886,430.788,700
1081545,316.767,367.439,415.782,497.388,550
1137175,534.102,367.439,454.679,397.488,775
1103291,490.635,399.119,415.782,563.988,750
1104155,360.234,399.119,337.989,430.788,700
1109142,403.701,462.480,299.092,430.788,700
1076686,403.701,335.759,415.782,497.388,725
1138654,447.168,335.759,454.679,430.788,700
1136351,447.168,430.799,493.576,464.088,650
1116854,403.701,335.759,376.886,464.088,800
1136236,534.102,430.799,376.886,464.088,750
1087877,490.635,430.799,415.782,497.388,750
1135609,490.635,335.759,376.886,497.388,675
1079596,403.701,335.759,376.886,397.488,700
1134657,403.701,430.799,376.886,464.088,700
1137490,490.635,335.759,376.886,364.187,775
1078901,360.234,367.439,376.886,464.088,725
1079085,316.767,430.799,532.473,430.788,725
1093695,447.168,367.439,376.886,530.688,725
1132354,447.168,430.799,454.679,397.488,850
1086385,447.168,589.200,376.886,530.688,850
1083575,447.168,430.799,493.576,464.088,775
1131579,360.234,399.119,493.576,364.187,775
1125926,447.168,399.119,415.782,497.388,725
1093318,577.569,335.759,337.989,430.788,775
1097319,490.635,399.119,337.989,430.788,850
1087378,490.635,430.799,376.886,464.088,100
1092356,534.102,399.119,454.679,530.688,800
1099797,490.635,367.439,337.989,464.088,725
1121306,403.701,335.759,493.576,530.688,725
1130658,316.767,335.759,376.886,464.088,725
1126062,490.635,430.799,415.782,497.388,800
1130605,360.234,367.439,337.989,430.788,700
1126252,490.635,399.119,376.886,597.288,650
1079773,316.767,430.799,376.886,364.187,725
1137105,447.168,430.799,415.782,530.688,775
1138600,229.834,367.439,376.886,397.488,725
1134633,316.767,367.439,376.886,497.388,675
1090170,447.168,494.160,376.886,464.088,750
1099260,316.767,399.119,376.886,497.388,700
1082737,360.234,399.119,415.782,430.788,750
1098016,534.102,367.439,415.782,530.688,800
1084865,577.569,652.561,415.782,497.388,850
1131671,447.168,367.439,376.886,464.088,750
1077372,403.701,367.439,454.679,397.488,725
1135407,534.102,399.119,376.886,430.788,800
1109828,447.168,494.160,415.782,464.088,875
1113446,621.036,494.160,493.576,430.788,800
1090958,447.168,430.799,337.989,497.388,825
1109963,403.701,367.439,454.679,430.788,750
1132611,534.102,557.520,493.576,497.388,825
1105878,447.168,399.119,454.679,397.488,800
1138928,577.569,430.799,493.576,464.088,775
1134188,360.234,240.719,337.989,430.788,800
1132601,664.503,367.439,493.576,464.088,725
1137523,360.234,430.799,376.886,430.788,725
1088381,621.036,304.079,337.989,430.788,725
1134647,534.102,399.119,376.886,430.788,750
1079751,403.701,494.160,454.679,430.788,700
1098483,534.102,557.520,493.576,430.788,850
1091263,360.234,399.119,376.886,464.088,775
1130324,360.234,367.439,376.886,497.388,700
1132939,490.635,335.759,415.782,430.788,750
1085779,534.102,589.200,571.370,397.488,775
1104352,316.767,272.399,299.092,464.088,775
1129334,490.635,367.439,415.782,364.187,800
1121331,403.701,304.079,337.989,563.988,625
1080030,403.701,399.119,376.886,497.388,700
1076221,577.569,494.160,493.576,464.088,800
1087669,316.767,399.119,415.782,497.388,700
1138104,447.168,494.160,493.576,430.788,775
1102382,447.168,399.119,337.989,397.488,775
1079385,534.102,462.480,454.679,430.788,775
1115805,490.635,240.719,415.782,430.788,825
1088985,403.701,335.759,376.886,430.788,850
1100096,534.102,462.480,376.886,464.088,850
1078572,403.701,430.799,415.782,464.088,750
1088494,490.635,557.520,454.679,430.788,750
1134913,534.102,462.480,493.576,464.088,850
1128458,447.168,335.759,376.886,397.488,725
1105850,621.036,589.200,532.473,430.788,850
1090234,490.635,494.160,532.473,497.388,775
1133477,447.168,557.520,376.886,497.388,750
1136960,534.102,430.799,337.989,397.488,750
1085437,490.635,399.119,376.886,430.788,650
1118924,534.102,367.439,493.576,497.388,775
1087204,490.635,304.079,415.782,364.187,775
1135046,577.569,557.520,454.679,530.688,925
1083890,534.102,494.160,454.679,563.988,800
1113463,403.701,399.119,415.782,530.688,800
1079511,577.569,462.480,415.782,464.088,700
1077341,447.168,399.119,376.886,497.388,775
1138678,403.701,494.160,337.989,397.488,800
1074580,447.168,462.480,415.782,430.788,100
1127246,447.168,525.840,454.679,563.988,700
1134141,577.569,430.799,493.576,464.088,700
1111988,447.168,525.840,376.886,464.088,800
1085678,447.168,304.079,454.679,364.187,825
1124087,360.234,430.799,337.989,430.788,600
1072693,447.168,430.799,571.370,397.488,800
1127232,447.168,367.439,415.782,464.088,700
1136973,316.767,335.759,337.989,430.788,700
1083490,577.569,367.439,454.679,464.088,750
1116064,490.635,399.119,376.886,497.388,750
1074036,577.569,494.160,493.576,464.088,750
1132380,577.569,304.079,415.782,430.788,750
1079946,664.503,525.840,454.679,397.488,800
1076683,360.234,399.119,337.989,464.088,750
1098050,447.168,462.480,454.679,430.788,825
1134918,577.569,589.200,454.679,430.788,875
1095625,490.635,494.160,532.473,497.388,750
1087380,273.300,430.799,376.886,464.088,700
1117648,534.102,367.439,337.989,430.788,750
1086446,447.168,589.200,376.886,397.488,825
1101630,664.503,494.160,532.473,430.788,850
1117114,360.234,399.119,532.473,430.788,700
1119962,534.102,557.520,454.679,597.288,825
1100559,316.767,494.160,493.576,397.488,850
1125467,621.036,525.840,571.370,464.088,825
1107291,577.569,399.119,454.679,397.488,800
1089075,360.234,367.439,415.782,364.187,725
1075132,447.168,494.160,337.989,464.088,800
1080116,490.635,494.160,493.576,464.088,775
1108174,403.701,304.079,376.886,397.488,800
1135598,447.168,620.880,415.782,497.388,750
1136069,273.300,399.119,532.473,397.488,800
1101606,316.767,430.799,454.679,364.187,725
1125281,447.168,462.480,415.782,364.187,700
1131398,403.701,462.480,337.989,430.788,750
1103993,447.168,494.160,532.473,497.388,850
1091111,534.102,335.759,415.782,430.788,800
1085303,490.635,494.160,415.782,397.488,750
1138107,534.102,399.119,454.679,497.388,825
1085302,316.767,399.119,415.782,430.788,750
1131405,447.168,430.799,493.576,464.088,775
1089679,447.168,399.119,415.782,430.788,750
1087763,447.168,335.759,415.782,430.788,825
1081960,360.234,304.079,376.886,563.988,900
1096673,360.234,399.119,337.989,364.187,650
1138426,447.168,430.799,571.370,397.488,800
1081312,403.701,367.439,376.886,464.088,775
1107634,360.234,430.799,376.886,497.388,800
1078191,490.635,430.799,454.679,464.088,800
1113453,621.036,557.520,571.370,397.488,850
1078078,403.701,335.759,376.886,364.187,775
1098381,447.168,335.759,376.886,464.088,750
1095281,403.701,430.799,493.576,430.788,750
1118460,403.701,462.480,415.782,430.788,550
1135000,577.569,304.079,415.782,397.488,825
1110900,360.234,430.799,299.092,430.788,800
1121450,490.635,430.799,376.886,497.388,700
1080908,447.168,335.759,415.782,397.488,650
1078336,447.168,430.799,337.989,397.488,800
1083790,447.168,430.799,493.576,397.488,775
1089515,577.569,462.480,493.576,430.788,750
1076087,490.635,367.439,415.782,430.788,800
1095907,534.102,494.160,454.679,497.388,900
1072661,360.234,367.439,415.782,497.388,725
1127916,403.701,557.520,454.679,530.688,850
1085729,316.767,367.439,376.886,397.488,800
1079019,403.701,430.799,337.989,497.388,800
1121879,403.701,525.840,493.576,497.388,750
1139309,403.701,462.480,415.782,464.088,825
1092072,490.635,494.160,454.679,497.388,875
1134209,490.635,557.520,454.679,530.688,750
1106488,577.569,620.880,649.164,597.288,850
1087537,403.701,430.799,299.092,397.488,725
1071722,534.102,494.160,454.679,430.788,825
1103034,577.569,367.439,415.782,464.088,725
1115127,707.970,620.880,454.679,497.388,875
1122768,621.036,557.520,571.370,497.388,850
1079588,534.102,462.480,454.679,563.988,875
1125135,447.168,557.520,649.164,630.588,875
1073384,577.569,620.880,493.576,464.088,850
1090097,447.168,525.840,454.679,497.388,750
1071628,577.569,525.840,493.576,563.988,800
1077121,534.102,652.561,649.164,630.588,875
1116578,490.635,589.200,649.164,563.988,875
1098817,577.569,589.200,610.267,430.788,875
1094805,534.102,557.520,493.576,464.088,900
1101456,621.036,652.561,571.370,563.988,850
1090002,577.569,430.799,493.576,464.088,800
1089319,577.569,399.119,376.886,430.788,800
1125024,490.635,462.480,610.267,497.388,800
1083456,577.569,525.840,493.576,497.388,750
1120848,273.300,462.480,493.576,530.688,825
1083608,360.234,430.799,415.782,430.788,750
1123842,403.701,557.520,532.473,464.088,800
1134476,360.234,399.119,415.782,430.788,700
1073489,577.569,525.840,532.473,430.788,875
1088327,621.036,557.520,532.473,397.488,850
1102871,447.168,462.480,376.886,430.788,825
1085317,577.569,494.160,376.886,430.788,800
1135818,316.767,335.759,337.989,397.488,700
1087097,403.701,462.480,454.679,430.788,825
1075981,534.102,557.520,532.473,464.088,825
1125058,447.168,525.840,415.782,497.388,825
1123026,447.168,430.799,415.782,430.788,800
1108241,403.701,367.439,454.679,497.388,800
1083222,447.168,557.520,571.370,464.088,750
1087774,447.168,399.119,493.576,430.788,850
1112020,621.036,652.561,532.473,630.588,950
1075861,577.569,589.200,454.679,497.388,850
1126639,577.569,589.200,415.782,563.988,875
1136564,621.036,620.880,532.473,530.688,850
1088266,229.834,335.759,337.989,430.788,575
1132991,577.569,589.200,454.679,397.488,825
1138520,316.767,367.439,454.679,430.788,800
1100265,403.701,462.480,337.989,597.288,775
1122667,664.503,494.160,610.267,430.788,775
